Headline,Ground_Truth,Zero-shot_Prediction
reminder: scott disick is just a fly in kourtney kardashian's instagram web,Non-Sarcastic,Sarcastic
85 percent of u.s. cole slaw remains uneaten,Sarcastic,Sarcastic
kerry's face droops with joy over latest polls,Sarcastic,Sarcastic
kylie jenner's first dye job was adorably amateur,Non-Sarcastic,Non-Sarcastic
graffiti artist no longer putting his heart in it,Sarcastic,Sarcastic
this inspiring fitness model lives without a working heart,Non-Sarcastic,Sarcastic
khloe kardashian releases first statement since lamar odom's hospitalization,Non-Sarcastic,Non-Sarcastic
fourth graders suspended after plotting to kill teacher with hand sanitizer,Non-Sarcastic,Non-Sarcastic
the fbi just blasted reporting on the san bernardino killings,Non-Sarcastic,Non-Sarcastic
robed mark warner infiltrates secret torchlit ahca ceremony deep in woods behind capitol,Sarcastic,Sarcastic
"thank you, dishonest media!",Non-Sarcastic,Sarcastic
senator misses simpler time when he could do abominable things in peace,Sarcastic,Sarcastic
frustrated republicans argue pope should leave science to scientists who deny climate change,Sarcastic,Sarcastic
the american dream: what does that part about kissing the gym teacher mean?,Sarcastic,Sarcastic
"jay-z: 'on second thought, i like orlando more'",Sarcastic,Sarcastic
axe wants to shed its douchey reputation and empower men,Non-Sarcastic,Non-Sarcastic
"anti-vaxxers, climate deniers and fear in the age of uncertainty",Non-Sarcastic,Non-Sarcastic
christina aguilera to guest judge on 'rupaul's drag race' season premiere,Non-Sarcastic,Non-Sarcastic
bp pledges to continue being huge profitable corporation,Sarcastic,Sarcastic
joan moran: 7 business skills that make your personal life successful,Non-Sarcastic,Non-Sarcastic
sam smith's pop rise: how a uk soul man came out and still became america's next top idol,Non-Sarcastic,Non-Sarcastic
bob iger offers rupert murdoch one night with mickey mouse in exchange for 21st century fox,Sarcastic,Sarcastic
cathedral moves sculpture because texters keep bumping into it,Non-Sarcastic,Sarcastic
"two dacamented dreamers, in alaska and texas, on fighting to stay home",Non-Sarcastic,Non-Sarcastic
everything you worked so hard for lying in splinters at your feet,Sarcastic,Sarcastic
wall street journal editor directs reporters to get really mealy-mouthed covering trump,Non-Sarcastic,Sarcastic
"oval office press chaos: 'you guys are getting worse,' says trump",Non-Sarcastic,Non-Sarcastic
mom draws powerful cartoon in response to cincinnati zoo incident,Non-Sarcastic,Non-Sarcastic
chris harrison says he doesn't have time to 'hate-watch' 'unreal',Non-Sarcastic,Non-Sarcastic
secret service agent not so secret about being david alan grier fan,Sarcastic,Sarcastic
how baby boomers are redefining healthy aging,Non-Sarcastic,Non-Sarcastic
mom much more insistent about getting grandkids from one child than other,Sarcastic,Sarcastic
massive blast rocks central baghdad,Non-Sarcastic,Non-Sarcastic
museum staff braces for large group wearing same t-shirt,Sarcastic,Sarcastic
area man experimented with sex back in college,Sarcastic,Sarcastic
3 reasons you picked the wrong doctor,Non-Sarcastic,Non-Sarcastic
the billionaire journalist,Non-Sarcastic,Non-Sarcastic
"new, improved google maps lets user launch missile at any location on globe",Sarcastic,Sarcastic
salmonella outbreak sickens more people following multi-state egg recall,Non-Sarcastic,Non-Sarcastic
photographers from 186 countries compete in worldwide competition,Non-Sarcastic,Non-Sarcastic
only time employee has ever done job is when training replacement,Sarcastic,Sarcastic
study finds first life forms migrated to earth via interplanetary land bridge,Sarcastic,Sarcastic
audience left wondering what happened after action film pans from character to shot of blood spattering against wall,Sarcastic,Sarcastic
study finds newborn infants can tell if parents are losers,Sarcastic,Sarcastic
grieving losses other than death,Non-Sarcastic,Non-Sarcastic
palm tree fires off warning coconut,Sarcastic,Sarcastic
16 days of activism: combating the global scourge of child marriage,Non-Sarcastic,Non-Sarcastic
norma at san francisco opera,Non-Sarcastic,Non-Sarcastic
"to be a president for all americans, trump must address hate incidents committed in his name",Non-Sarcastic,Non-Sarcastic
area veal calf is totally cramped!,Sarcastic,Sarcastic
report: 17 new species of bacteria found every day in world's rainforest cafés,Sarcastic,Sarcastic
"mike pence disappointed in the 200,000 husbands and fathers who permitted women to attend march",Sarcastic,Sarcastic
day spent on internet comes full circle,Sarcastic,Sarcastic
u.s. must do its part to support green climate fund,Non-Sarcastic,Non-Sarcastic
sleater-kinney just made bowie's 'rebel rebel' the political anthem of 2017,Non-Sarcastic,Non-Sarcastic
the single american woman,Non-Sarcastic,Non-Sarcastic
9 things to make the most out of your high school senior year,Non-Sarcastic,Non-Sarcastic
drunk birds slur their 'words' just like humans,Non-Sarcastic,Sarcastic
rupaul is reinforcing the very thing his show is supposed to rebel against,Non-Sarcastic,Non-Sarcastic
are you selfish or self-responsible?,Non-Sarcastic,Non-Sarcastic
shared leadership among women and men: good news and bad news,Non-Sarcastic,Non-Sarcastic
"one down, 999 still to go: building a better approach to business",Non-Sarcastic,Sarcastic
bar table scientists awarded 4-beer grant to complete analysis on why he's not good enough for you,Sarcastic,Sarcastic
nabisco snack physicists develop highly unstable quadriscuits,Sarcastic,Sarcastic
"architect presents obama with generic options for war memorial that could work for syria, libya, yemen",Sarcastic,Sarcastic
the 3 (unlikely) artists i'm obsessing over this year,Non-Sarcastic,Non-Sarcastic
deadly midair collision reported in maryland,Non-Sarcastic,Non-Sarcastic
texans brace for president's response to hurricane,Sarcastic,Non-Sarcastic
gop sticks it to obama with one more gitmo vote,Non-Sarcastic,Non-Sarcastic
dreamworks skg signs j&h productions to six-year deal,Sarcastic,Non-Sarcastic
let's raise a glass to pink for gleefully slamming the troll who hacked her instagram,Non-Sarcastic,Non-Sarcastic
captain's hat really completes street lunatic's ensemble,Sarcastic,Sarcastic
sinead o'connor is 'safe and sound' after emotional facebook post about overdose,Non-Sarcastic,Non-Sarcastic
what does it mean when we call women girls?,Non-Sarcastic,Non-Sarcastic
new rule from obama will punish contractors who cheat or endanger workers,Non-Sarcastic,Non-Sarcastic
"dc executive worried batgirl script not interesting enough to be movie, 3 more movies, 2028 reboot and 4 more movies",Sarcastic,Sarcastic
you must hear this dog sneeze before you do anything else,Non-Sarcastic,Sarcastic
melissa etheridge marries linda wallem,Non-Sarcastic,Non-Sarcastic
world's wealthiest billionaires got nearly $1 trillion richer in 2017: bloomberg,Non-Sarcastic,Non-Sarcastic
are you a lady-in-waiting?,Non-Sarcastic,Sarcastic
watch this guy's chin perfectly perform ed sheeran's 'thinking out loud',Non-Sarcastic,Sarcastic
head of trump 'election integrity' probe pens wildly misleading op-ed about voter fraud,Non-Sarcastic,Non-Sarcastic
taliban making military gains in afghanistan,Non-Sarcastic,Non-Sarcastic
study finds growing number of americans would be comfortable with female pep boy,Sarcastic,Sarcastic
5 of the best wurst on planet barbecue,Non-Sarcastic,Non-Sarcastic
do you have to pay income taxes on social security benefits?,Non-Sarcastic,Non-Sarcastic
converse high tops reveal tv character's eccentric personality,Sarcastic,Sarcastic
proposed legislation offers citizenship to immigrants who can play piano so good it makes everyone cry,Sarcastic,Sarcastic
cnn's hollywood minute announces special two-minute season premiere,Sarcastic,Non-Sarcastic
report:  one in five americans currently holding for the next available representative,Sarcastic,Sarcastic
from 'that junkie chick' on hbo to soccer mom,Non-Sarcastic,Non-Sarcastic
busy woman keeps best-dressed oscar slideshow tab open to be savored as sumptuous feast at her leisure,Sarcastic,Sarcastic
the glory days: iv,Non-Sarcastic,Non-Sarcastic
how to encourage quiet children to push past their fears,Non-Sarcastic,Non-Sarcastic
renowned ornithologist always secretly wanted to be a bird,Sarcastic,Sarcastic
man looking for job that plays to his natural talent for half-assing things,Sarcastic,Sarcastic
chance the rapper celebrates the last christmas before donald trump with run-dmc spoof,Non-Sarcastic,Non-Sarcastic
herman cain endorses who gives a fuck,Sarcastic,Sarcastic
nation demands more slow-motion footage of running basset hounds,Sarcastic,Sarcastic
networks will interrupt daytime shows for real-life soap as comey testifies,Non-Sarcastic,Non-Sarcastic
9 entrepreneurship lessons from the mountains,Non-Sarcastic,Non-Sarcastic
aunt enters ninth year of raving about 'wicked',Sarcastic,Sarcastic
john kerry throws vine over pit of quicksand to save child companion,Sarcastic,Sarcastic
cretinous reprobate home for the holidays,Sarcastic,Sarcastic
marco rubio doesn't have a clue what 'oscars so white' means,Non-Sarcastic,Non-Sarcastic
'new york times' bully knocks stack of polls from nate silver's hands,Sarcastic,Sarcastic
'dawn of the planet of the apes' owns weekend box office,Non-Sarcastic,Non-Sarcastic
missing from amazon's search for a second home: the climate effects,Non-Sarcastic,Non-Sarcastic
"sony exec's apology following prejudicial emails is just not enough, and here's why",Non-Sarcastic,Non-Sarcastic
siblings playing tense game of chicken to decide who going to care for mom,Sarcastic,Sarcastic
training tomorrow's leaders in higher education,Non-Sarcastic,Non-Sarcastic
national board of steve jaskoviak requests $10 billion bailout,Sarcastic,Sarcastic
new biography reveals einstein devised theory of relativity on paper because he wasn't smart enough to invent microsoft word,Sarcastic,Sarcastic
"julianne moore on 'freeheld,' marriage equality and ellen page's 'extraordinary' coming out",Non-Sarcastic,Non-Sarcastic
holiday traditions: friendships,Non-Sarcastic,Non-Sarcastic
report: some people live in pennsylvania,Sarcastic,Sarcastic
crowd at trump rally realizes they've been chanting 'we are frightened and helpless' for last half hour,Sarcastic,Sarcastic
"most men are clueless about how to dress up, says new survey",Non-Sarcastic,Non-Sarcastic
trevor noah explains why he's always seen black women as the strongest leaders,Non-Sarcastic,Non-Sarcastic
"prog noir and beyond: conversations with tony levin, cactus' carmine appice, jim mccarty, and jake shimabukuro",Non-Sarcastic,Non-Sarcastic
what's next for uber?,Non-Sarcastic,Non-Sarcastic
shinto priestess killed by brother during sword attack at tokyo shrine,Non-Sarcastic,Non-Sarcastic
rod stewart mistaken for elderly aunt,Sarcastic,Sarcastic
waitress creeped out by overtipper,Sarcastic,Sarcastic
brief ceremony marks delivery boy's passage into delivery manhood,Sarcastic,Sarcastic
theater: nathan lane and matthew broderick kings of comedy! again!; wonderfully 'curious',Non-Sarcastic,Non-Sarcastic
u.s. braces for separate floods as joaquin leaves bahamas,Non-Sarcastic,Non-Sarcastic
most items at garage sale haunted,Sarcastic,Sarcastic
eagles of death metal give emotional first interview since paris attack,Non-Sarcastic,Non-Sarcastic
latest department of interior river count comes up one short,Sarcastic,Sarcastic
self-centered child blames divorce entirely on himself,Sarcastic,Sarcastic
"when it comes to pregnancy discrimination, equal is not the same as fair",Non-Sarcastic,Non-Sarcastic
"machine guns are not protected by the second amendment, appeals court rules",Non-Sarcastic,Non-Sarcastic
'six million dollar man' star martin e. brooks dead at age 90,Non-Sarcastic,Non-Sarcastic
toddler junkie immediately hooked on looking at trains after first exhilarating high,Sarcastic,Sarcastic
"'active shooter at large,' reports endless background hum of modern american life",Sarcastic,Sarcastic
disney's new 'frozen' plane makes it harder than ever to 'let it go',Non-Sarcastic,Non-Sarcastic
man waiting in h&r block lobby nervously eyeing how much more paperwork everyone else brought,Sarcastic,Sarcastic
gay guys get personal and ask straight men all of their burning questions,Non-Sarcastic,Non-Sarcastic
winter storm brings ice and freezing rain to central u.s.,Non-Sarcastic,Non-Sarcastic
microsoft's solitaire is turning 25!,Non-Sarcastic,Non-Sarcastic
obama to meet with families of san bernardino shooting victims,Non-Sarcastic,Non-Sarcastic
how some of trump's bad tweets are helping puppies and kittens,Non-Sarcastic,Non-Sarcastic
watch weightlifter celebrate olympic bronze with an epic backflip,Non-Sarcastic,Non-Sarcastic
iran's startups promise paradise for the country's unemployed youth,Non-Sarcastic,Non-Sarcastic
kevin hart wore 'all black for a reason' at the oscars,Non-Sarcastic,Non-Sarcastic
it's been a really great year for poop bags,Non-Sarcastic,Sarcastic
local moviegoer enjoying movie so far,Sarcastic,Sarcastic
serial killer makes impassioned case for protecting local marsh,Sarcastic,Sarcastic
is twitter bad for language? statistical analysis says no (new book),Non-Sarcastic,Non-Sarcastic
